discourse,speaker,phone,phone_duration,phone_begin,phone_end,phone_position,previous_phone,following_phone,following_following_phone,syllable,syllable_begin,syllable_end,word,transcription,word_begin,word_end,ok,note
27263_f5_int6_20221201_CH_194021,27263,ɑ̃,0.0799999999999983,47.07,47.15,7,m,d,e,s.m.ɑ̃,46.95,47.15,financement,f.i.n.ɑ̃.s.m.ɑ̃,46.64,47.15,1,
29097_f1_int2_20221206_CH_161009,29097,ɑ̃,0.14000000000000057,69.55,69.69,2,m,d,ɑ,m.ɑ̃,69.49,69.69,mandat,m.ɑ̃.d.ɑ,69.49,70.07,1,
ANQ027-4,33483,ɑ̃,0.08979591836735068,60.06598639455782,60.15578231292517,1,p,ʃ,ɛ,ɑ̃,60.06598639455782,60.15578231292517,en,ɑ̃,60.06598639455782,60.15578231292517,1,
18111_f1_int2_2014_02_20_assnat,18111,ɑ̃,0.11999999999999744,44.82,44.94,1,<SIL>,f,ɔ̃,ɑ̃,44.82,44.94,en,ɑ̃,44.82,44.94,0,
ANQ096-16,10162,ɑ̃,0.11972789115647232,70.59206349206349,70.71179138321996,4,v,t,ɜ,v.ɑ̃,70.53219954648527,70.71179138321996,inventaire,n.ɛ̃.v.ɑ̃.t.ɜ.ʁ,70.3625850340136,70.95124716553288,1,
30777_f1_int2_20221206_CH_193811,30777,ɑ̃,0.12999999999999545,98.14,98.27,6,e,s,j,ɑ̃,98.14,98.27,compréhension,k.ɔ̃.p.ʁ.e.ɑ̃.s.j.ɔ̃,97.75,98.67,1,
20291_f6_int7_20230328_CH_161055,20291,ɑ̃,0.13999999999999968,5.82,5.96,4,n,s,e,n.ɑ̃,5.77,5.96,financer,f.i.n.ɑ̃.s.e,5.61,6.19,1,
47863_f2_int2_20230328_CH_111155,47863,ɑ̃,0.23000000000000043,30.23,30.46,6,s,s,d,s.ɑ̃.s,30.12,30.64,croissance,k.ʁ.w.ɑ.s.ɑ̃.s,29.86,30.64,1,
45127_f5_int6_20221201_CH_215149,45127,ɑ̃,0.10999999999999945,68.23,68.34,2,ʒ,k,u,ʒ.ɑ̃,68.13,68.34,j'encourage,ʒ.ɑ̃.k.u.ʁ.a.ʒ,68.13,68.71,1,
55473_f1_int2_2022_03_24_assnat_160345,55473,ɑ̃,0.15000000000000568,95.08,95.23,1,<SIL>,t,ʁ,ɑ̃,95.08,95.23,entretenir,ɑ̃.t.ʁ.ə.t.ə.ɲ.i.ʁ,95.08,95.9,0,
59678_f4_int4_2019_04_18_CH_0-19_30,59678,ɑ̃,0.05999999999999872,11.22,11.28,7,n,l,e,n.ɑ̃,11.14,11.28,concernant,k.ɔ̃.s.ɛ.ʁ.n.ɑ̃,10.77,11.28,1,
92340_f7_int8_2022_03_29_assnat_110941,92340,ɑ̃,0.08999999999999986,18.13,18.22,1,t,t,ʁ,ɑ̃,18.13,18.22,entreprises,ɑ̃.t.ʁ.ə.p.ʁ.i.z,18.13,18.76,1,
20189_f7_int7_2021_03_31_CH_0-1626,20189,ɑ̃,0.14000000000000057,80.69,80.83,5,m,s,e,m.ɑ̃,80.63,80.83,changement,ʃ.ɑ̃.ʒ.m.ɑ̃,80.37,80.83,1,
68409_f5_int5_2022_03_29_CH_0-1724,68409,ɑ̃,0.10999999999999945,96.29,96.4,2,p,d,ɑ̃,p.ɑ̃,96.26,96.4,pendant,p.ɑ̃.d.ɑ̃,96.26,96.51,1,
89010_f5_int6_2022_03_29_assnat_105202,89010,ɑ̃,0.12000000000000456,68.78,68.9,6,t,t,<SIL>,t.ɑ̃.t,68.74,68.93,importante,ɛ̃.p.ɔ.ʁ.t.ɑ̃.t,68.47,68.93,1,
ANQ067-15,93238,ɑ̃,0.0997732426303859,11.456462585034012,11.556235827664398,4,e,s,j,ɑ̃,11.456462585034012,11.556235827664398,échéancier,e.ʃ.e.ɑ̃.s.j.e,11.26689342403628,11.715873015873017,0,
10622_f2_int3_20221202_CH_115051,10622,ɑ̃,0.07000000000000028,54.19,54.26,3,ʁ,k,ɔ,f.ʁ.ɑ̃,54.07,54.26,francophonie,f.ʁ.ɑ̃.k.ɔ.f.ɔ.ɲ.i,54.07,54.75,1,
94076_f3_int4_2021_03_31_CH_0-1641,94076,ɑ̃,0.12000000000000456,95.52,95.64,1,e,s,ə,ɑ̃,95.52,95.64,en,ɑ̃,95.52,95.64,1,
93404_f11_int17_2010_05_11_comm,93404,ɑ̃,0.12999999999999545,84.31,84.44,5,m,s,ɛ̃,m.ɑ̃,84.17,84.44,vraiment,v.ʁ.ɛ.m.ɑ̃,83.93,84.44,1,
89010_f12_int15_2022_03_29_assnat_105202,89010,ɑ̃,0.12999999999999545,35.7,35.83,4,v,ɡ,a,v.ɑ̃,35.64,35.83,l'avant,l.a.v.ɑ̃,35.53,35.83,1,
28898_f3_int3_2019_05_02_CH_0-19_30,28898,ɑ̃,0.11999999999999744,44.54,44.66,6,ʁ,t,ɛ,ʁ.ɑ̃,44.49,44.66,différents,d.i.f.e.ʁ.ɑ̃,44.23,44.66,1,
94076_f3_int4_2021_03_31_CH_0-1641,94076,ɑ̃,0.07000000000000028,26.16,26.23,2,p,s,ɛ,p.ɑ̃,26.13,26.23,pensais,p.ɑ̃.s.ɛ,26.13,26.34,1,
10622_f1_int2_20221202_CH_115051,10622,ɑ̃,0.10000000000000142,34.04,34.14,1,ʁ,f,ɑ̃,ɑ̃,34.04,34.14,enfants,ɑ̃.f.ɑ̃,34.04,34.48,1,
ANQ102-1,34408,ɑ̃,0.23945578231292688,25.90362811791383,26.143083900226756,7,m,sp,d,m.ɑ̃,25.753968253968253,26.143083900226756,rapidement,ʁ.a.p.i.d.m.ɑ̃,25.43469387755102,26.143083900226756,0,
85186_f4_int5_20221201_CH_205221,85186,ɑ̃,0.06000000000000227,60.44,60.5,2,m,s,j,m.ɑ̃,60.39,60.5,mentionné,m.ɑ̃.s.j.ɔ.n.e,60.39,60.78,1,
30777_f13_int14_20221206_CH_193811,30777,ɑ̃,0.09999999999999964,15.15,15.25,3,t,s,i,t.ɑ̃,15.07,15.25,intensifs,ɛ̃.t.ɑ̃.s.i.f,14.93,15.49,1,
61332_f2_int3_2013_02_15_comm_1,61332,ɑ̃,0.10000000000000853,80.38,80.48,9,t,t,o,s.t.ɑ̃.t,80.27,80.54,inexistante,i.n.ɛ.ɡ.z.i.s.t.ɑ̃.t,80.01,80.54,1,
20291_f9_int10_20230328_CH_161055,20291,ɑ̃,0.09999999999999432,92.86,92.96,3,l,b,y,p.l.ɑ̃,92.8,92.96,plan,p.l.ɑ̃,92.8,92.96,1,
30777_f11_int12_20221206_CH_193811,30777,ɑ̃,0.129999999999999,23.98,24.11,2,s,t,e,s.ɑ̃,23.88,24.11,santé,s.ɑ̃.t.e,23.88,24.5,1,
20923_f2_int4_2006_03_03_assnat,20923,ɑ̃,0.16000000000000014,26.14,26.3,1,ɑ,d,a,ɑ̃,26.14,26.3,ans,ɑ̃,26.14,26.3,1,
93404_f8_int11_2010_05_11_comm,93404,ɑ̃,0.1499999999999999,3.89,4.04,2,p,s,ʁ,p.ɑ̃.s,3.79,4.14,pense,p.ɑ̃.s,3.79,4.14,1,
13539_f4_int6_2019_04_02_assnat_1622,13539,ɑ̃,0.12999999999999545,46.92,47.05,7,d,ʒ,ə,d.ɑ̃,46.87,47.05,président,p.ʁ.e.z.i.d.ɑ̃,46.6,47.05,1,
20488_f4_int5_2022_03_29_assnat_161259,20488,ɑ̃,0.14999999999999858,34.68,34.83,2,p,s,ʁ,p.ɑ̃,34.65,34.83,penserait,p.ɑ̃.s.ʁ.ɛ,34.65,35.37,1,
20488_f1_int2_2022_03_29_assnat_161259,20488,ɑ̃,0.0800000000000125,70.07,70.15,1,ʁ,k,ɔ,ɑ̃,70.07,70.15,en,ɑ̃,70.07,70.15,1,
86777_f1_int2_20230329_CH_120834,86777,ɑ̃,0.13000000000000256,31.33,31.46,1,d,b,i,ɑ̃,31.33,31.46,ambitions,ɑ̃.b.i.s.j.ɔ̃,31.33,31.87,1,
64968_f7_int9_2022_03_29_assnat_164708,64968,ɑ̃,0.129999999999999,23.94,24.07,2,d,d,y,d.ɑ̃,23.88,24.07,d'endurer,d.ɑ̃.d.y.ʁ.e,23.88,24.36,1,
68409_f1_int1_2022_03_29_CH_0-1724,68409,ɑ̃,0.1999999999999993,8.42,8.62,5,ʁ,d,ʁ,p.ʁ.ɑ̃.d.ʁ,8.32,8.68,comprendre,k.ɔ̃.p.ʁ.ɑ̃.d.ʁ,8.12,8.68,1,
98330_f3_int4_2015_11_17_assnat,98330,ɑ̃,0.08999999999999986,18.89,18.98,2,d,s,ɔ̃,d.ɑ̃,18.8,18.98,dans,d.ɑ̃,18.8,18.98,1,
79155_f6_int8_20230329_CH_163526,79155,ɑ̃,0.08000000000000007,8.66,8.74,4,s,b,l,s.ɑ̃,8.58,8.74,l'assemblée,l.a.s.ɑ̃.b.l.e,8.47,8.85,1,
20978_f5_int9_2017_04_27_comm,20978,ɑ̃,0.1799999999999926,64.04,64.22,1,<SIL>,d,ɔ,ɑ̃,64.04,64.22,en,ɑ̃,64.04,64.22,0,
ANQ060-1,15538,ɑ̃,0.1297052154195012,0.8505668934240361,0.9802721088435372,7,d,l,ə,d.ɑ̃,0.790702947845805,0.9802721088435372,président,p.ʁ.e.z.i.d.ɑ̃,0.4714285714285714,0.9802721088435372,0,
ANQ096-10,10162,ɑ̃,0.12970521541950575,36.23015873015873,36.35986394557823,1,s,p,l,ɑ̃,36.23015873015873,36.35986394557823,en,ɑ̃,36.23015873015873,36.35986394557823,1,
20923_f4_int8_2006_03_03_assnat,20923,ɑ̃,0.12000000000000456,40.26,40.38,4,l,t,e,p.l.ɑ̃,40.15,40.38,implantés,ɛ̃.p.l.ɑ̃.t.e,40.01,40.54,1,
38811_f9_int10_2018_03_21_assnat,38811,ɑ̃,0.10000000000000142,27.58,27.68,1,<SIL>,ɛ̃,k,ɑ̃,27.58,27.68,en,ɑ̃,27.58,27.68,1,
20291_f11_int12_20230328_CH_161055,20291,ɑ̃,0.2199999999999989,23.55,23.77,4,z,p,l,ɡ.z.ɑ̃.p.l,23.4,23.9,exemple,ɛ.ɡ.z.ɑ̃.p.l,23.39,23.9,1,
76718_f1_int2_2006_06_12_assnat,76718,ɑ̃,0.13000000000000256,43.62,43.75,4,n,s,m,n.ɑ̃,43.56,43.75,financement,f.i.n.ɑ̃.s.m.ɑ̃,43.42,44.09,,
63101_f3_int4_2014_02_18_assnat,63101,ɑ̃,0.09999999999999432,99.09,99.19,4,m,d,m,m.ɑ̃.d,99.04,99.24,d'amendements,d.a.m.ɑ̃.d.m.ɑ̃,98.89,99.49,,
27263_f8_int9_20221201_CH_194021,27263,ɑ̃,0.129999999999999,17.51,17.64,2,s,t,ɑ̃,s.ɑ̃,17.41,17.64,s'entendre,s.ɑ̃.t.ɑ̃.d.ʁ,17.41,17.9,,
30777_f10_int11_20221206_CH_193811,30777,ɑ̃,0.10999999999999945,87.7,87.81,7,d,t,<SIL>,d.ɑ̃.t,87.63,87.97,indépendante,ɛ̃.d.e.p.ɑ̃.d.ɑ̃.t,87.24,87.97,,
28898_f7_int7_2019_05_02_CH_0-19_30,28898,ɑ̃,0.10999999999999945,19.1,19.21,9,m,<SIL>,l,m.ɑ̃,18.95,19.21,qu'actuellement,k.a.k.t.ɥ.ɛ.l.m.ɑ̃,18.44,19.21,,
63101_f2_int4_2013_12_04_comm,63101,ɑ̃,0.10000000000000142,48.8,48.9,8,m,d,y,m.ɑ̃,48.73,48.9,différemment,d.i.f.e.ʁ.a.m.ɑ̃,48.19,48.9,,
20978_f5_int9_2017_04_27_comm,20978,ɑ̃,0.14999999999999858,41.51,41.66,1,<SIL>,m,i,ɑ̃,41.51,41.66,en,ɑ̃,41.51,41.66,,
20189_f4_int4_2021_03_31_CH_0-1626,20189,ɑ̃,0.10999999999999945,63.19,63.3,7,m,s,y,m.ɑ̃,63.15,63.3,l'enseignement,l.ɑ̃.s.ɛ.ɲ.m.ɑ̃,62.8,63.3,,
89010_f5_int6_2022_03_29_assnat_105202,89010,ɑ̃,0.21000000000000085,38.35,38.56,7,d,d,ə,d.ɑ̃,38.29,38.56,président,p.ʁ.e.z.i.d.ɑ̃,38.01,38.56,,
37282_f5_int7_20230328_CH_182011,37282,ɑ̃,0.14000000000000057,6.93,7.07,3,ʁ,d,ʁ,p.ʁ.ɑ̃.d.ʁ,6.84,7.14,prendre,p.ʁ.ɑ̃.d.ʁ,6.84,7.14,,
94076_f4_int5_2021_03_31_CH_0-1641,94076,ɑ̃,0.10000000000000142,31.61,31.71,2,p,s,p,p.ɑ̃.s,31.56,31.76,pense,p.ɑ̃.s,31.56,31.76,,
28898_f6_int6_2019_05_02_CH_0-19_30,28898,ɑ̃,0.13000000000000966,85.96,86.09,2,k,t,i,k.ɑ̃.t,85.83,86.19,quand,k.ɑ̃.t,85.83,86.19,,
92098_f10_int11_2018_06_07_assnat_2,92098,ɑ̃,0.10000000000000142,51.16,51.26,7,z,t,a,z.ɑ̃,51.09,51.26,représentativité,ʁ.ə.p.ʁ.e.z.ɑ̃.t.a.t.i.v.i.t.e,50.79,51.85,,
ANQ069-6,95075,ɑ̃,0.10975056689343177,33.91541950113378,34.025170068027215,7,m,t,ɜ,m.ɑ̃,33.865532879818595,34.025170068027215,complémentaires,k.ɔ̃.p.l.e.m.ɑ̃.t.ɜ.ʁ,33.556235827664395,34.49410430839003,,
29097_f4_int6_20221206_CH_161009,29097,ɑ̃,0.11999999999999744,34.46,34.58,3,ʁ,ʃ,ɑ̃,ɡ.ʁ.ɑ̃,34.31,34.58,grand,ɡ.ʁ.ɑ̃,34.31,34.58,,
63659_f5_int8_20230329_CH_151603,63659,ɑ̃,0.0800000000000125,80.07,80.15,2,k,p,a,k.ɑ̃,79.99,80.15,campagne,k.ɑ̃.p.a.ɲ,79.99,80.39,,
63101_f2_int3_2014_01_16_comm,63101,ɑ̃,0.21000000000000085,49.16,49.37,3,e,s,d,ɑ̃.s,49.16,49.43,séances,s.e.ɑ̃.s,48.9,49.43,,
ANQ069-6,95075,ɑ̃,0.10975056689342466,9.40113378684807,9.510884353741496,5,z,t,œ̃,z.ɑ̃.t,9.321315192743764,9.590702947845804,présentent,p.ʁ.e.z.ɑ̃.t,9.14172335600907,9.590702947845804,,
ANQ074-2,98588,ɑ̃,0.08979591836734713,29.26598639455782,29.355782312925168,4,n,e,a,n.ɑ̃,29.206122448979592,29.355782312925168,tenants,t.ə.n.ɑ̃,29.016553287981857,29.355782312925168,,
68749_f2_int2_2019_04_18_CAT_0-19_30,68749,ɑ̃,0.09000000000000341,98.35,98.44,2,d,l,a,d.ɑ̃,98.29,98.44,dans,d.ɑ̃,98.29,98.44,,
27263_f5_int6_20221201_CH_194021,27263,ɑ̃,0.1899999999999995,8.5,8.69,2,s,z,ø,s.ɑ̃.z,8.36,8.8,sans,s.ɑ̃.z,8.36,8.8,,
98330_f5_int5_2021_03_31_CH_0-1433,98330,ɑ̃,0.12000000000000456,63.08,63.2,2,d,<SIL>,d,d.ɑ̃,63.03,63.2,dans,d.ɑ̃,63.03,63.2,,
ANQ031-20,46224,ɑ̃,0.2095238095238088,60.11587301587302,60.32539682539683,4,n,s,sp,n.ɑ̃.s,60.056009070294785,60.46507936507937,finances,f.i.n.ɑ̃.s,59.906349206349205,60.46507936507937,,
45127_f2_int3_20221201_CH_215149,45127,ɑ̃,0.11999999999999034,66.15,66.27,5,m,p,ʁ,m.ɑ̃,66.05,66.27,logements,l.ɔ.ʒ.m.ɑ̃,65.7,66.27,,
20978_f6_int10_2017_04_27_comm,20978,ɑ̃,0.17999999999999972,8.69,8.87,2,s,t,ʁ,s.ɑ̃.t.ʁ,8.53,8.93,centres,s.ɑ̃.t.ʁ,8.53,8.93,,
55473_f5_int6_2022_03_24_assnat_160345,55473,ɑ̃,0.12999999999999545,50.84,50.97,2,m,k,t,m.ɑ̃.k,50.76,51.21,manque,m.ɑ̃.k,50.76,51.21,,
63659_f2_int3_20230329_CH_151603,63659,ɑ̃,0.1200000000000001,5.61,5.73,2,ʒ,p,ɑ,ʒ.ɑ̃,5.55,5.73,j'en,ʒ.ɑ̃,5.55,5.73,,
27263_f1_int2_20221201_CH_160010,27263,ɑ̃,0.2199999999999989,73.19,73.41,5,n,<SIL>,m,n.ɑ̃,73.15,73.41,maintenant,m.ɛ̃.t.n.ɑ̃,72.87,73.41,,
59967_f5_int10_2010_04_20_comm,59967,ɑ̃,0.07000000000000028,3.11,3.18,4,m,d,d,m.ɑ̃.d,3.04,3.24,demandes,d.ə.m.ɑ̃.d,2.93,3.24,,
61332_f7_int9_2013_02_15_comm_1,61332,ɑ̃,0.11999999999999744,45.85,45.97,4,n,s,j,n.ɑ̃,45.81,45.97,financier,f.i.n.ɑ̃.s.j.e,45.74,46.13,,
57403_f5_int6_2022_03_29_assnat_170109,57403,ɑ̃,0.07000000000000028,40.06,40.13,2,d,l,ə,d.ɑ̃,40.02,40.13,dans,d.ɑ̃,40.02,40.13,,
57403_f5_int6_2022_03_29_assnat_170109,57403,ɑ̃,0.08999999999999986,6.66,6.75,2,d,l,ə,d.ɑ̃,6.49,6.75,dans,d.ɑ̃,6.49,6.75,,
27263_f6_int7_20221201_CH_160010,27263,ɑ̃,0.20999999999999375,72.79,73,3,t,d,ʁ,t.ɑ̃.d.ʁ,72.67,73.15,étendre,e.t.ɑ̃.d.ʁ,72.53,73.15,,
27263_f5_int6_20221201_CH_160010,27263,ɑ̃,0.08999999999999986,2.71,2.8,4,m,t,a,m.ɑ̃,2.63,2.8,augmentation,o.ɡ.m.ɑ̃.t.a.s.j.ɔ̃,2.53,3.19,,
22095_f6_int12_2006_04_05_assnat,22095,ɑ̃,0.16000000000000003,0.64,0.8,7,d,<SIL>,ɛ,d.ɑ̃,0.6,0.8,président,p.ʁ.e.z.i.d.ɑ̃,0.33,0.8,,
86777_f3_int4_20230329_CH_120834,86777,ɑ̃,0.10999999999999945,77.77,77.88,5,s,t,c,s.ɑ̃.t,77.7,77.95,soixante,s.w.a.s.ɑ̃.t,77.53,77.95,,
92098_f7_int8_2018_06_07_assnat_2,92098,ɑ̃,0.0799999999999983,73.05,73.13,3,ʁ,ʃ,m,f.ʁ.ɑ̃.ʃ,72.9,73.24,franchement,f.ʁ.ɑ̃.ʃ.m.ɑ̃,72.9,73.46,,
38811_f6_int7_2018_03_21_assnat,38811,ɑ̃,0.1599999999999966,86.78,86.94,3,f,<SIL>,l,f.ɑ̃,86.65,86.94,enfant,ɑ̃.f.ɑ̃,86.52,86.94,,
11696_f4_int5_20230329_CH_154830,11696,ɑ̃,0.09000000000000341,38.26,38.35,7,m,d,ə,m.ɑ̃,38.21,38.35,justement,ʒ.y.s.t.ə.m.ɑ̃,37.91,38.35,,
28898_f3_int3_2019_05_02_CH_0-19_30,28898,ɑ̃,0.0799999999999983,71.13,71.21,2,d,l,ɛ,d.ɑ̃,71.1,71.21,dans,d.ɑ̃,71.1,71.21,,
10622_f2_int3_20221202_CH_115051,10622,ɑ̃,0.09000000000000341,74.59,74.68,9,m,s,ɛ,m.ɑ̃,74.55,74.68,gouvernement,ɡ.u.v.ɛ.ʁ.n.ə.m.ɑ̃,74.18,74.68,,
27263_f3_int4_20221201_CH_194021,27263,ɑ̃,0.22999999999998977,75.59,75.82,4,v,s,p,v.ɑ̃.s,75.51,75.94,d'avance,d.a.v.ɑ̃.s,75.3,75.94,,
28898_f2_int2_2019_05_02_CH_0-19_30,28898,ɑ̃,0.14000000000000057,52.7,52.84,2,d,d,o,d.ɑ̃,52.65,52.84,dans,d.ɑ̃,52.65,52.84,,
23806_f4_int5_20221206_CH_205000,23806,ɑ̃,0.10999999999999945,73.43,73.54,1,<SIL>,t,ɛ,ɑ̃,73.43,73.54,en,ɑ̃,73.43,73.54,,
92098_f10_int11_2018_06_07_assnat_2,92098,ɛ,0.1900000000000004,6.43,6.62,2,m,<SIL>,d,m.ɛ,6.35,6.62,mais,m.ɛ,6.35,6.62,0,
ANQ031-15,46224,ɛ,0.0698412698412767,94.537641723356,94.60748299319728,4,n,b,j,n.ɛ,94.4777777777778,94.60748299319728,connaît,k.o.n.ɛ,94.29818594104307,94.60748299319728,1,
93404_f4_int5_2010_05_11_comm,93404,ɛ,0.07000000000000028,31.36,31.43,5,ʒ,d,ə,ʒ.ɛ,31.28,31.43,projet,p.ʁ.ɔ.ʒ.ɛ,31.15,31.43,1,
ANQ007-4,66831,ɛ,0.1297052154195022,13.831065759637186,13.960770975056688,3,k,l,l,k.ɛ.l,13.721315192743765,14.090476190476188,auquel,o.k.ɛ.l,13.6015873015873,14.090476190476188,1,
ANQ069-5,95075,ɛ,0.07981859410430836,10.488662131519272,10.568480725623582,3,ʁ,a,a,p.ʁ.ɛ,10.329024943310657,10.568480725623582,prêt,p.ʁ.ɛ,10.329024943310657,10.568480725623582,1,
37282_f6_int8_20230328_CH_182011,37282,ɛ,0.17999999999999972,61.85,62.03,4,l,<SIL>,ɛ̃,l.ɛ,61.8,62.03,délais,d.e.l.ɛ,61.64,62.03,0,
ANQ031-4,46224,ɛ,0.1197278911564652,28.198412698412696,28.31814058956916,2,m,s,e,m.ɛ,28.09863945578231,28.31814058956916,mais,m.ɛ,28.09863945578231,28.31814058956916,0,
63101_f2_int3_2014_02_18_assnat,63101,ɛ,0.11000000000000654,58.23,58.34,2,f,e,t,f.ɛ,58.11,58.34,fait,f.ɛ,58.11,58.34,1,
ANQ031-21,46224,ɛ,0.05986394557824326,85.62789115646258,85.68775510204082,3,v,k,l,v.ɛ.k,85.5780045351474,85.74761904761905,avec,a.v.ɛ.k,85.51814058956916,85.74761904761905,1,
98330_f3_int3_2021_03_31_CH_0-1433,98330,ɛ,0.14000000000000057,89.98,90.12,4,z,c,i,z.ɛ,89.83,90.12,disait,d.i.z.ɛ,89.74,90.12,1,
ANQ031-13,46224,ɛ,0.08979591836734713,19.258730158730156,19.348526077097503,11,n,l,d,n.ɛ.l,19.17891156462585,19.398412698412695,informationnelles,ɛ̃.f.o.ʁ.m.a.t.j.ɔ.n.ɛ.l,18.64013605442177,19.398412698412695,1,
ANQ031-23,46224,ɛ,0.05986394557823615,49.08095238095238,49.14081632653062,3,v,k,l,v.ɛ.k,49.021088435374146,49.21065759637189,avec,a.v.ɛ.k,48.97120181405896,49.21065759637189,1,
20291_f3_int4_20230328_CH_161055,20291,ɛ,0.18999999999999773,86.01,86.2,3,l,<SIL>,p,l.ɛ,85.94,86.2,allait,a.l.ɛ,85.83,86.2,1,
56492_f3_int4_2018_06_07_assnat_1,56492,ɛ,0.0799999999999983,63.82,63.9,5,ʒ,d,ə,ʒ.ɛ,63.76,63.9,projet,p.ʁ.ɔ.ʒ.ɛ,63.59,63.9,0,
68409_f6_int6_2022_03_29_CH_0-1724,68409,ɛ,0.35999999999999943,14.42,14.78,4,ʁ,<SIL>,l,p.ʁ.ɛ,14.09,14.78,après,a.p.ʁ.ɛ,13.94,14.78,0,
86777_f3_int4_20230329_CH_120834,86777,ɛ,0.07000000000000739,68.24,68.31,3,ʁ,t,ʁ,t.ʁ.ɛ,68.04,68.31,très,t.ʁ.ɛ,68.04,68.31,1,
63101_f1_int1_2013_10_24_assnat,63101,ɛ,0.06000000000000227,32.87,32.93,3,t,d,e,t.ɛ,32.77,32.93,était,e.t.ɛ,32.74,32.93,1,
ANQ062-6,69953,ɛ,0.05986394557823615,45.199773242630386,45.25963718820862,3,ʁ,m,ɑ̃,v.ʁ.ɛ,45.1,45.25963718820862,vraiment,v.ʁ.ɛ.m.ɑ̃,45.1,45.39931972789116,1,
38811_f4_int5_2018_03_21_assnat,38811,ɛ,0.1600000000000037,38.62,38.78,2,m,<SIL>,ɛ,m.ɛ,38.52,38.78,mais,m.ɛ,38.52,38.78,0,
ANQ031-19,46224,ɛ,0.08979591836735779,95.13628117913832,95.22607709750568,3,m,t,ʁ,m.ɛ,95.04648526077098,95.22607709750568,omettre,o.m.ɛ.t.ʁ.ə,94.98662131519274,95.45555555555556,1,
13539_f4_int6_2019_04_02_assnat_1622,13539,ɛ,0.05999999999999872,16.14,16.2,4,ʁ,a,s,ʁ.ɛ,16.1,16.2,saurait,s.o.ʁ.ɛ,15.94,16.2,1,
93404_f7_int10_2010_05_11_comm,93404,ɛ,0.14000000000000057,56.56,56.7,4,v,ɜ,t,v.ɛ,56.48,56.7,devait,d.ə.v.ɛ,56.37,56.7,1,
ANQ071-1,34326,ɛ,0.05986394557823615,38.43514739229025,38.49501133786848,3,v,k,l,v.ɛ.k,38.375283446712025,38.56485260770975,avec,a.v.ɛ.k,37.9562358276644,38.56485260770975,1,
38811_f6_int7_2018_03_21_assnat,38811,ɛ,0.05000000000000426,52.65,52.7,3,ʁ,d,ə,f.ʁ.ɛ,52.51,52.7,frais,f.ʁ.ɛ,52.51,52.7,1,
ANQ050-2,44661,ɛ,0.08979591836734357,33.815646258503406,33.90544217687075,2,d,ʁ,n,d.ɛ.ʁ,33.74580498866214,33.98526077097505,dernier,d.ɛ.ʁ.n.j.e,33.74580498866214,34.33446712018141,1,
